Model,Version,Accuracy,Precision,Recall,F1,ROC-AUC,Train Rows,Test Rows,Accuracy Difference,Precision Difference,Recall Difference,F1 Difference,ROC-AUC Difference
Logistic Regression,Baseline,0.6837512570149544,0.3709982717471813,0.681584517689749,0.4804689581667999,0.741619705099102,89446,30827,0.0,0.0,0.0,0.0,0.0
Logistic Regression,Experimental,0.6957861614818179,0.37928022361984626,0.6564862413063199,0.48078839552651975,0.7419933981988873,89446,30827,0.012034904466863505,0.00828195187266495,-0.025098276383429097,0.000319437359719843,0.0003736930997852994
Gradient Boosting,Baseline,0.7912544198267752,0.5685823754789272,0.11218627154520713,0.18739739866144714,0.748236127356307,89446,30827,0.0,0.0,0.0,0.0,0.0
Gradient Boosting,Experimental,0.7918707626431375,0.5880782918149466,0.0999395222255821,0.1708451796329801,0.7455915547719812,89446,30827,0.0006163428163622475,0.019495916336019437,-0.012246749319625036,-0.01655221902846704,-0.0026445725843257106
AdaBoost,Baseline,0.7891134395173063,0.5319389485585077,0.1422739643181131,0.22450196826911606,0.7363442319338259,89446,30827,0.0,0.0,0.0,0.0,0.0
AdaBoost,Experimental,0.7894053913776884,0.5321729957805907,0.15255518596915635,0.2371327849588719,0.7364304445461108,89446,30827,0.0002919518603821114,0.00023404722208308915,0.010281221651043254,0.012630816689755853,8.621261228491939e-05
