Model,Accuracy,Precision,Recall,F1,ROC-AUC,Train Rows,Evaluation Rows
Majority Baseline,0.7854478217147306,0.0,0.0,0.0,,89446,30827
Logistic Regression,0.6837512570149544,0.3709982717471813,0.681584517689749,0.4804689581667999,0.741619705099102,89446,30827
Random Forest,0.7889836831349142,0.5332114564290067,0.13229513153915937,0.21199273167777105,0.7269167970767851,89446,30827
Extra Trees,0.786323677295877,0.5081374321880651,0.12745690958572725,0.20379547926991418,0.7210529563179898,89446,30827
Gradient Boosting,0.7912544198267752,0.5685823754789272,0.11218627154520713,0.18739739866144714,0.748236127356307,89446,30827
AdaBoost,0.7891134395173063,0.5319389485585077,0.1422739643181131,0.22450196826911606,0.7363442319338259,89446,30827
Decision Tree,0.691698835436468,0.30825371549893843,0.3512246749319625,0.328339222614841,0.5679635537547517,89446,30827
KNN,0.76225386836215,0.4049960138187616,0.2304203205322044,0.2937265105521827,0.6516616944784377,89446,30827
