Model,Version,Accuracy,Precision,Recall,F1,ROC-AUC,Train Rows,Test Rows,Accuracy Difference,Precision Difference,Recall Difference,F1 Difference,ROC-AUC Difference
Logistic Regression,Baseline,0.6837512570149544,0.3709982717471813,0.681584517689749,0.4804689581667999,0.741619705099102,89446,30827,0.0,0.0,0.0,0.0,0.0
Logistic Regression,Experimental,0.6833944269633763,0.3705349794238683,0.6806773510734805,0.47985504156896186,0.7415594783475368,89446,30827,-0.00035683005157816083,-0.00046329232331299153,-0.000907166616268551,-0.000613916597838049,-6.0226751565251035e-05
Gradient Boosting,Baseline,0.7912544198267752,0.5685823754789272,0.11218627154520713,0.18739739866144714,0.748236127356307,89446,30827,0.0,0.0,0.0,0.0,0.0
Gradient Boosting,Experimental,0.7913517371135693,0.5697852760736196,0.1123374659812519,0.1876736549633746,0.7486468432046697,89446,30827,9.731728679407414e-05,0.0012029005946924132,0.00015119443604476313,0.00027625630192745776,0.00041071584836271935
AdaBoost,Baseline,0.7891134395173063,0.5319389485585077,0.1422739643181131,0.22450196826911606,0.7363442319338259,89446,30827,0.0,0.0,0.0,0.0,0.0
AdaBoost,Experimental,0.7891134395173063,0.5319389485585077,0.1422739643181131,0.22450196826911606,0.7363442319338259,89446,30827,0.0,0.0,0.0,0.0,0.0
