Model,Accuracy Mean,Accuracy Std,Accuracy Min,Accuracy Max,Precision Mean,Precision Std,Precision Min,Precision Max,Recall Mean,Recall Std,Recall Min,Recall Max,F1 Mean,F1 Std,F1 Min,F1 Max,ROC-AUC Mean,ROC-AUC Std,ROC-AUC Min,ROC-AUC Max
Logistic Regression,0.6999664434469665,0.026120978926887636,0.6584922797456857,0.7309501411100658,0.4406730306982056,0.03412287641362783,0.38789237668161436,0.48470588235294115,0.6799808886765409,0.044593803318269114,0.6268115942028986,0.7545787545787546,0.5345455258794723,0.03748774712741616,0.4792243767313019,0.5902578796561605,0.7640862236073909,0.036250476981754536,0.7099209486166008,0.8141141558863078
Gradient Boosting,0.7608028076311214,0.01648154789991445,0.7425093632958801,0.7873303167420814,0.5746139623729056,0.07985534437674353,0.4875,0.6938775510204082,0.19673514890906194,0.048299050751840836,0.14130434782608695,0.2490842490842491,0.2921989355624647,0.06387768238024599,0.21910112359550563,0.3665768194070081,0.7548615741706166,0.05175517248354453,0.6728765920070267,0.8150136783048175
AdaBoost,0.7591872181015724,0.01082202775047404,0.7471910112359551,0.7746606334841629,0.5875549176793095,0.06315491733384522,0.5288461538461539,0.6707317073170732,0.15953177257525084,0.04465651559275015,0.09057971014492754,0.20146520146520147,0.2483695967984144,0.05984812233959885,0.15479876160990713,0.30985915492957744,0.755281008917572,0.04248354752362898,0.691750109793588,0.80856864654333
