model,version,accuracy_mean,accuracy_std,accuracy_mean_difference,accuracy_std_difference,precision_mean,precision_std,precision_mean_difference,precision_std_difference,recall_mean,recall_std,recall_mean_difference,recall_std_difference,f1_mean,f1_std,f1_mean_difference,f1_std_difference,roc_auc_mean,roc_auc_std,roc_auc_mean_difference,roc_auc_std_difference
Logistic Regression,Baseline,0.6511258496288674,0.02333247104789554,0.0,0.0,0.3560231732449187,0.010704359058442,0.0,0.0,0.7071031473981557,0.042914116086471006,0.0,0.0,0.4728210311493982,0.007559636309563747,0.0,0.0,0.730116570457418,0.007351877861924269,0.0,0.0
Logistic Regression,Experimental,0.6502158677755661,0.035376595475705076,-0.0009099818533013782,0.012044124427809538,0.3586549124311682,0.018377046503863164,0.002631739186249482,0.0076726874454211644,0.7222419776672526,0.047870930363702345,0.015138830269096903,0.004956814277231339,0.4780742653326368,0.012746271171175013,0.0052532341832385865,0.005186634861611267,0.739928568038031,0.008621611366133384,0.009811997580613019,0.0012697335042091149
Gradient Boosting,Baseline,0.7804895288210696,0.011815758059011928,0.0,0.0,0.5345981663163516,0.06717179716956476,0.0,0.0,0.14311492726043246,0.03605346021783446,0.0,0.0,0.22124453658624826,0.04116459131136902,0.0,0.0,0.7305349275025621,0.012820747040368329,0.0,0.0
Gradient Boosting,Experimental,0.7847858220430345,0.010385138655154618,0.0042962932219648975,-0.0014306194038573097,0.5632739449706634,0.06291883512432876,0.028675778654311812,-0.0042529620452359945,0.15232053297857498,0.021810740998912833,0.009205605718142523,-0.014242719218921628,0.23757262857980596,0.02333457287409958,0.016328091993557697,-0.017830018437269442,0.7396143236682597,0.009451213370497969,0.00907939616569764,-0.0033695336698703598
AdaBoost,Baseline,0.7800220528384674,0.007121569671967986,0.0,0.0,0.5141495511504395,0.030786042669617635,0.0,0.0,0.16367147497033832,0.027242619243891777,0.0,0.0,0.24628480339246978,0.028754405362079006,0.0,0.0,0.7233461344229942,0.006847459147971704,0.0,0.0
AdaBoost,Experimental,0.7820083881962289,0.006125686417240639,0.001986335357761493,-0.0009958832547273472,0.5275053453827813,0.03380615012379281,0.013355794232341789,0.003020107454175174,0.16713482737108,0.02019972701563586,0.0034633524007416927,-0.007042892228255916,0.25253947358649265,0.020221107486420403,0.006254670194022871,-0.008533297875658603,0.7288610663625,0.006505117185405068,0.005514931939505807,-0.00034234196256663525
