feature,min,max,mean,median,missing_count,missing_rate,zero_count,zero_rate
horse_history_count,0,39,4.589059888753087,3.0,0,0.0,18864,0.15684318176149262
distance_history_count,0,29,1.68334538923948,1.0,0,0.0,52731,0.43842757726172954
surface_history_count,0,35,3.8124350436091228,2.0,0,0.0,26348,0.21906828631529937
jockey_history_count,0,2429,591.8935338770963,480.0,0,0.0,246,0.0020453468359482177
has_previous_race,0,1,0.8431568182385074,1.0,0,0.0,18864,0.15684318176149262
has_distance_history,0,1,0.5615724227382705,1.0,0,0.0,52731,0.43842757726172954
has_surface_history,0,1,0.7809317136847006,1.0,0,0.0,26348,0.21906828631529937
