model,version,fold,train_start_date,train_end_date,validation_start_date,validation_end_date,train_rows,validation_rows,train_races,validation_races,validation_positive_rate,accuracy,precision,recall,f1,roc_auc
Logistic Regression,Baseline,1,2024-01-06,2024-04-27,2024-04-28,2024-08-24,16036,15154,1164,1128,0.22330737759007524,0.6353438036162069,0.3502097902097902,0.7399527186761229,0.4754129485475603,0.7274992166645577
Logistic Regression,Experimental,1,2024-01-06,2024-04-27,2024-04-28,2024-08-24,16036,15154,1164,1128,0.22330737759007524,0.599181734195592,0.33081761006289306,0.7771867612293144,0.4640903476266102,0.7330340339164161
Gradient Boosting,Baseline,1,2024-01-06,2024-04-27,2024-04-28,2024-08-24,16036,15154,1164,1128,0.22330737759007524,0.7592054902995908,0.4112525117213664,0.1814420803782506,0.2517941357391839,0.7105318948080929
Gradient Boosting,Experimental,1,2024-01-06,2024-04-27,2024-04-28,2024-08-24,16036,15154,1164,1128,0.22330737759007524,0.767256169988122,0.4486719310839914,0.18469267139479906,0.2616705045007327,0.7270030037901384
AdaBoost,Baseline,1,2024-01-06,2024-04-27,2024-04-28,2024-08-24,16036,15154,1164,1128,0.22330737759007524,0.7726012933878844,0.47747093023255816,0.19414893617021275,0.27605042016806725,0.7200661667379704
AdaBoost,Experimental,1,2024-01-06,2024-04-27,2024-04-28,2024-08-24,16036,15154,1164,1128,0.22330737759007524,0.7742510228322556,0.4867762687634024,0.20124113475177305,0.2847585197574744,0.7274453121390881
Logistic Regression,Baseline,2,2024-01-06,2024-08-24,2024-08-25,2024-12-14,31190,13893,2292,1054,0.22766861009141295,0.6168574102065788,0.3432965757399884,0.7480240278216883,0.4706116360019891,0.7220026288348592
Logistic Regression,Experimental,2,2024-01-06,2024-08-24,2024-08-25,2024-12-14,31190,13893,2292,1054,0.22766861009141295,0.6164975167350464,0.34630129206304133,0.7711033828643693,0.47795414462081126,0.7309193054949484
Gradient Boosting,Baseline,2,2024-01-06,2024-08-24,2024-08-25,2024-12-14,31190,13893,2292,1054,0.22766861009141295,0.7789534297847837,0.5421245421245421,0.187164084729687,0.2782608695652174,0.7242547141208386
Gradient Boosting,Experimental,2,2024-01-06,2024-08-24,2024-08-25,2024-12-14,31190,13893,2292,1054,0.22766861009141295,0.7801050888936875,0.5612244897959183,0.15649699652228896,0.24474660074165636,0.7324296332919747
AdaBoost,Baseline,2,2024-01-06,2024-08-24,2024-08-25,2024-12-14,31190,13893,2292,1054,0.22766861009141295,0.7723313899085871,0.5,0.19728106228264305,0.2829290410337792,0.7163648947714707
AdaBoost,Experimental,2,2024-01-06,2024-08-24,2024-08-25,2024-12-14,31190,13893,2292,1054,0.22766861009141295,0.7762182394011372,0.525,0.17926019601644008,0.2672637284939901,0.7219381454781064
Logistic Regression,Baseline,3,2024-01-06,2024-12-14,2024-12-15,2025-04-06,45083,14708,3346,1020,0.20818602121294533,0.6703834647810716,0.35016778523489933,0.6815806662312214,0.4626468632232321,0.7300059181069056
Logistic Regression,Experimental,3,2024-01-06,2024-12-14,2024-12-15,2025-04-06,45083,14708,3346,1020,0.20818602121294533,0.6855452814794669,0.3598708983324368,0.6554539516655781,0.46463711077671027,0.7387382104770907
Gradient Boosting,Baseline,3,2024-01-06,2024-12-14,2024-12-15,2025-04-06,45083,14708,3346,1020,0.20818602121294533,0.794737557791678,0.5332302936630603,0.11267145656433704,0.18603397142086817,0.734967324220391
Gradient Boosting,Experimental,3,2024-01-06,2024-12-14,2024-12-15,2025-04-06,45083,14708,3346,1020,0.20818602121294533,0.7976611367963014,0.5667701863354038,0.11920313520574788,0.19697787371829464,0.740544166901383
AdaBoost,Baseline,3,2024-01-06,2024-12-14,2024-12-15,2025-04-06,45083,14708,3346,1020,0.20818602121294533,0.7914740277400054,0.49730893433799783,0.15088177661659047,0.231520922074668,0.7216928343234048
AdaBoost,Experimental,3,2024-01-06,2024-12-14,2024-12-15,2025-04-06,45083,14708,3346,1020,0.20818602121294533,0.7910660864835464,0.4941675503711559,0.15218811234487264,0.23270911360799001,0.7254597104906073
Logistic Regression,Baseline,4,2024-01-06,2025-04-06,2025-04-12,2025-08-03,59791,15866,4366,1175,0.2222992562712719,0.681583259800832,0.37298017657837745,0.6348171250354409,0.46988457502623293,0.727207544600597
Logistic Regression,Experimental,4,2024-01-06,2025-04-06,2025-04-12,2025-08-03,59791,15866,4366,1175,0.2222992562712719,0.6797554519097441,0.37798366834170855,0.6824496739438617,0.48650833754421424,0.7415677693937495
Gradient Boosting,Baseline,4,2024-01-06,2025-04-06,2025-04-12,2025-08-03,59791,15866,4366,1175,0.2222992562712719,0.783562334551872,0.5786802030456852,0.09696626027785654,0.16610004856726565,0.7335889029262251
Gradient Boosting,Experimental,4,2024-01-06,2025-04-06,2025-04-12,2025-08-03,59791,15866,4366,1175,0.2222992562712719,0.7888566746501954,0.6088560885608856,0.14034590303373973,0.22811059907834103,0.7437027243760421
AdaBoost,Baseline,4,2024-01-06,2025-04-06,2025-04-12,2025-08-03,59791,15866,4366,1175,0.2222992562712719,0.7809781923610236,0.530373831775701,0.12872129288347037,0.20716404289299567,0.7221889154309205
AdaBoost,Experimental,4,2024-01-06,2025-04-06,2025-04-12,2025-08-03,59791,15866,4366,1175,0.2222992562712719,0.7852010588680197,0.5640473627556513,0.148568188261979,0.23518850987432674,0.7283605179480634
Logistic Regression,Baseline,5,2024-01-06,2025-08-03,2025-08-09,2025-11-23,75657,13789,5541,1032,0.22496192617303648,0.6514613097396476,0.36346153846153845,0.7311411992263056,0.48554913294797686,0.7438675440801708
Logistic Regression,Experimental,5,2024-01-06,2025-08-03,2025-08-09,2025-11-23,75657,13789,5541,1032,0.22496192617303648,0.670099354557981,0.3783010933557611,0.7250161186331399,0.4971813860948381,0.7553835209079501
Gradient Boosting,Baseline,5,2024-01-06,2025-08-03,2025-08-09,2025-11-23,75657,13789,5541,1032,0.22496192617303648,0.7859888316774241,0.6077032810271041,0.13733075435203096,0.22403365763870628,0.7493318014372626
Gradient Boosting,Experimental,5,2024-01-06,2025-08-03,2025-08-09,2025-11-23,75657,13789,5541,1032,0.22496192617303648,0.7900500398868664,0.6308470290771175,0.16086395873629916,0.25635756486000516,0.7543920899817604
AdaBoost,Baseline,5,2024-01-06,2025-08-03,2025-08-09,2025-11-23,75657,13789,5541,1032,0.22496192617303648,0.7827253607948365,0.5655940594059405,0.147324306898775,0.23375959079283887,0.736417860851205
AdaBoost,Experimental,5,2024-01-06,2025-08-03,2025-08-09,2025-11-23,75657,13789,5541,1032,0.22496192617303648,0.7833055333961854,0.5675355450236966,0.15441650548033528,0.24277749619868222,0.7411016457566352
