distance_band,rows,rate
under_1000,0,0.0
1000_1199,4326,0.035968172407772316
1200_1399,23794,0.19783326266078005
1400_1599,17410,0.1447540179425141
1600_1799,21934,0.1823684451206838
1800_1999,29126,0.24216573960905607
2000_2199,13138,0.10923482410848652
2200_2399,2396,0.01992134560541435
2400_2599,3123,0.025965927514903595
2600_and_over,5026,0.041788265030389196
