Model,Accuracy,Precision,Recall,F1,ROC-AUC,Train Rows,Evaluation Rows
Majority Baseline,0.7470983506414173,0.0,0.0,0.0,,4932,1637
Logistic Regression,0.7361026267562615,0.4859375,0.751207729468599,0.5901328273244781,0.810650139634462,4932,1637
Random Forest,0.773365913255956,0.672,0.2028985507246377,0.3116883116883117,0.7933943221902268,4932,1637
Extra Trees,0.7697006719609041,0.6637168141592921,0.18115942028985507,0.2846299810246679,0.7753020804942309,4932,1637
Gradient Boosting,0.7739767868051314,0.6692307692307692,0.21014492753623187,0.31985294117647056,0.81461500784086,4932,1637
AdaBoost,0.7727550397067807,0.6381578947368421,0.23429951690821257,0.34275618374558303,0.8091362808647462,4932,1637
Decision Tree,0.6811240073304826,0.3783783783783784,0.4057971014492754,0.3916083916083916,0.5900612653607782,4932,1637
KNN,0.7513744654856445,0.5138339920948617,0.3140096618357488,0.38980509745127434,0.7068436686535446,4932,1637
