model,version,accuracy_mean,accuracy_std,accuracy_mean_difference,accuracy_std_difference,precision_mean,precision_std,precision_mean_difference,precision_std_difference,recall_mean,recall_std,recall_mean_difference,recall_std_difference,f1_mean,f1_std,f1_mean_difference,f1_std_difference,roc_auc_mean,roc_auc_std,roc_auc_mean_difference,roc_auc_std_difference
Logistic Regression,Baseline,0.6511258496288674,0.02333247104789554,0.0,0.0,0.3560231732449187,0.010704359058442,0.0,0.0,0.7071031473981557,0.042914116086471006,0.0,0.0,0.4728210311493982,0.007559636309563747,0.0,0.0,0.730116570457418,0.007351877861924269,0.0,0.0
Logistic Regression,Experimental,0.6510128869202013,0.023074255525673524,-0.00011296270866612002,-0.00025821552222201477,0.3559526753004407,0.010516597956019065,-7.049794447799851e-05,-0.00018776110242293455,0.7074947451739153,0.04363064719288357,0.000391597775759589,0.0007165311064125657,0.47285018331957146,0.008003358132820205,2.915217017324112e-05,0.000443721823256458,0.73030422260813,0.007374867825704641,0.00018765215071203656,2.298996378037252e-05
Gradient Boosting,Baseline,0.7804895288210696,0.011815758059011928,0.0,0.0,0.5345981663163516,0.06717179716956476,0.0,0.0,0.14311492726043246,0.03605346021783446,0.0,0.0,0.22124453658624826,0.04116459131136902,0.0,0.0,0.7305349275025621,0.012820747040368329,0.0,0.0
Gradient Boosting,Experimental,0.7816274538420308,0.009952082232581561,0.0011379250209612168,-0.0018636758264303672,0.5385245159487944,0.060252031051093446,0.0039263496324427605,-0.00691976611847131,0.1408918831070918,0.03293702748581088,-0.002223044153340653,-0.003116432732023583,0.2199190173049967,0.03913950606158291,-0.0013255192812515748,-0.0020250852497861113,0.7313960789384945,0.011896285105228534,0.0008611514359323502,-0.0009244619351397951
AdaBoost,Baseline,0.7800220528384674,0.007121569671967986,0.0,0.0,0.5141495511504395,0.030786042669617635,0.0,0.0,0.16367147497033832,0.027242619243891777,0.0,0.0,0.24628480339246978,0.028754405362079006,0.0,0.0,0.7233461344229942,0.006847459147971704,0.0,0.0
AdaBoost,Experimental,0.7805518811872272,0.007359330976026914,0.0005298283487598088,0.00023776130405892774,0.5193323568910416,0.03560907796468853,0.005182805740602148,0.004823035295070898,0.16689142062795326,0.027228212951194732,0.0032199456576149366,-1.4406292697045214e-05,0.25036768400426057,0.027533800210353128,0.004082880611790796,-0.001220605151725878,0.7237661543168064,0.007148653198835426,0.0004200198938121291,0.0003011940508637224
