model,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_mean,f1_std,f1_min,f1_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max
Logistic Regression,0.6511258496288674,0.02333247104789554,0.6168574102065788,0.681583259800832,0.3560231732449187,0.010704359058442,0.3432965757399884,0.37298017657837745,0.7071031473981557,0.042914116086471006,0.6348171250354409,0.7480240278216883,0.4728210311493982,0.007559636309563747,0.4626468632232321,0.48554913294797686,0.730116570457418,0.007351877861924269,0.7220026288348592,0.7438675440801708
Gradient Boosting,0.7804895288210696,0.011815758059011928,0.7592054902995908,0.794737557791678,0.5345981663163516,0.06717179716956476,0.4112525117213664,0.6077032810271041,0.14311492726043246,0.03605346021783446,0.09696626027785654,0.187164084729687,0.22124453658624826,0.04116459131136902,0.16610004856726565,0.2782608695652174,0.7305349275025621,0.012820747040368329,0.7105318948080929,0.7493318014372626
AdaBoost,0.7800220528384674,0.007121569671967986,0.7723313899085871,0.7914740277400054,0.5141495511504395,0.030786042669617635,0.47747093023255816,0.5655940594059405,0.16367147497033832,0.027242619243891777,0.12872129288347037,0.19728106228264305,0.24628480339246978,0.028754405362079006,0.20716404289299567,0.2829290410337792,0.7233461344229942,0.006847459147971704,0.7163648947714707,0.736417860851205
