Model,Version,Accuracy,Precision,Recall,F1,ROC-AUC,Train Rows,Test Rows,Accuracy Difference,Precision Difference,Recall Difference,F1 Difference,ROC-AUC Difference
Logistic Regression,Baseline,0.6837512570149544,0.3709982717471813,0.681584517689749,0.4804689581667999,0.741619705099102,89446,30827,0.0,0.0,0.0,0.0,0.0
Logistic Regression,Experimental,0.6956564050994258,0.38227288193263015,0.6794677955851225,0.48927599346761025,0.7579981219744019,89446,30827,0.011905148084471406,0.011274610185448841,-0.002116722104626545,0.00880703530081034,0.01637841687529984
Gradient Boosting,Baseline,0.7912544198267752,0.5685823754789272,0.11218627154520713,0.18739739866144714,0.748236127356307,89446,30827,0.0,0.0,0.0,0.0,0.0
Gradient Boosting,Experimental,0.794984915820547,0.5998641304347826,0.1335046870275174,0.21840217660153352,0.7557222782319564,89446,30827,0.003730495993771732,0.03128175495585539,0.021318415482310255,0.03100477794008638,0.007486150875649411
AdaBoost,Baseline,0.7891134395173063,0.5319389485585077,0.1422739643181131,0.22450196826911606,0.7363442319338259,89446,30827,0.0,0.0,0.0,0.0,0.0
AdaBoost,Experimental,0.7900541732896487,0.5360040567951319,0.1598125188993045,0.24621476822734684,0.7408058415540507,89446,30827,0.0009407337723423836,0.004065108236624204,0.017538554581191412,0.021712799958230777,0.0044616096202247935
