model,version,accuracy_mean,accuracy_std,accuracy_mean_difference,accuracy_std_difference,precision_mean,precision_std,precision_mean_difference,precision_std_difference,recall_mean,recall_std,recall_mean_difference,recall_std_difference,f1_mean,f1_std,f1_mean_difference,f1_std_difference,roc_auc_mean,roc_auc_std,roc_auc_mean_difference,roc_auc_std_difference
Logistic Regression,Baseline,0.6511258496288674,0.02333247104789554,0.0,0.0,0.3560231732449187,0.010704359058442,0.0,0.0,0.7071031473981557,0.042914116086471006,0.0,0.0,0.4728210311493982,0.007559636309563747,0.0,0.0,0.730116570457418,0.007351877861924269,0.0,0.0
Logistic Regression,Experimental,0.659183373281747,0.03127084592837984,0.008057523652879595,0.007938374880484298,0.3602424843029045,0.013686915128746036,0.004219311057985786,0.002982556070304036,0.6840538007153955,0.06118781554073983,-0.023049346682760263,0.01827369945426882,0.4703340854897851,0.009204761608022473,-0.0024869456596131045,0.0016451252984587264,0.72821884386376,0.008242542221953992,-0.0018977265936579446,0.0008906643600297233
Gradient Boosting,Baseline,0.7804895288210696,0.011815758059011928,0.0,0.0,0.5345981663163516,0.06717179716956476,0.0,0.0,0.14311492726043246,0.03605346021783446,0.0,0.0,0.22124453658624826,0.04116459131136902,0.0,0.0,0.7305349275025621,0.012820747040368329,0.0,0.0
Gradient Boosting,Experimental,0.778885927851973,0.011032886412740328,-0.001603600969096619,-0.0007828716462715997,0.5039118641562218,0.07364218528512849,-0.030686302160129797,0.006470388115563733,0.12328899608501442,0.04042051461106701,-0.019825931175418032,0.004367054393232546,0.19535135802435985,0.054006496931585254,-0.025893178561888414,0.012841905620216233,0.7238985435142054,0.016351335086339923,-0.006636383988356753,0.003530588045971594
AdaBoost,Baseline,0.7800220528384674,0.007121569671967986,0.0,0.0,0.5141495511504395,0.030786042669617635,0.0,0.0,0.16367147497033832,0.027242619243891777,0.0,0.0,0.24628480339246978,0.028754405362079006,0.0,0.0,0.7233461344229942,0.006847459147971704,0.0,0.0
AdaBoost,Experimental,0.7803461243620079,0.007353824704014499,0.0003240715235405256,0.0002322550320465128,0.5180670659684374,0.032236129003666764,0.003917514817997958,0.0014500863340491284,0.15834198076523548,0.0320201251866411,-0.0053294942051028416,0.004777505942749324,0.2398772521953633,0.03491322814388595,-0.006407551197106481,0.006158822781806943,0.7232920205688622,0.0068647353258070995,-5.411385413200964e-05,1.7276177835395812e-05
